the_geom,VENUE_RECN,FULL_NAME,LEVEL_1_NA,LEVEL_2_NA,LEVEL_3_NA,BOOKABLE,EVENT,PROMOTION,TRAINING,WEDDING,SUSTAINABI,SPORT,NO_SMOKING,DOG_PROHIB,DOG_OFF_LE,PROP_ID,ROADSEG_ID,ADDRESSPT_,ADDRESSPT1,ADDRESSP_1
POINT (144.95543739832556 -37.81109383330219),160,Flagstaff Gardens:  FG - Lawn 13,Flagstaff Gardens,FG - Lawn 13,,Y,Y,,Y,N,M,,N,N,N,"102,942",0,"102,943",40.9784417,28
POINT (144.95521917866634 -37.77990471424554),266,Royal Park:  RP - Lawn 9_Ryder Ct_S1,Royal Park,RP - Lawn 9_Ryder Ct_S1,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,0,0,0
POINT (144.97463978124 -37.824767413750216),179,Kings Domain:  KD - Lawn 4,Kings Domain,KD - Lawn 4,,Y,Y,,Y,N,M,,N,N,N,"108,615",0,"529,525",38.86214775,289
POINT (144.9671007316638 -37.81592857180709),824,Promotional Spaces:  City Square,Promotional Spaces,City Square,,Y,Y,,N,N,,,N,N,N,"109,419",0,"655,195",15.78783315,212
POINT (144.96173019375894 -37.81080310058936),"1,364",Promotional Spaces:  Melbourne Central Station - Elizabeth Street,Promotional Spaces,Melbourne Central Station - Elizabeth Street,,Y,N,,N,N,,,N,N,N,0,"20,169","601,448",20.15941462,71
POINT (144.9375827252431 -37.81566820528829),"1,576",Docklands:  Parks:  Quay Park,Docklands,Parks,Quay Park,Y,Y,,N,N,L,N,N,N,N,"632,876",0,"632,880",20.12623365,297
POINT (144.95316579832524 -37.79596016662455),371,Other Park Locations:  Ievers Reserve,Other Park Locations,Ievers Reserve,,Y,Y,,N,N,L,,Y,N,N,"103,910",0,"107,255",63.2028553,324
POINT (144.95486089159274 -37.81175509710494),159,Flagstaff Gardens:  FG - Lawn 12,Flagstaff Gardens,FG - Lawn 12,,Y,Y,,Y,N,M,,N,N,N,"102,942",0,0,0,0
POINT (144.9750014223981 -37.81891336935055),409,Birrarung Marr:  BM - Middle Terrace,Birrarung Marr,BM - Middle Terrace,,Y,Y,,N,N,H,,N,N,N,"573,368",0,0,0,0
POINT (144.97016355027458 -37.80664955602868),30,Carlton Gardens:  CG - Lawn 12,Carlton Gardens,CG - Lawn 12,,Y,N,,N,Y,L,,N,N,N,"108,268",0,"546,082",78.59724285,0
POINT (144.98360246627576 -37.8440435375902),68,Fawkner Park:  FP - Lawn 22_Cs3_S2,Fawkner Park,FP - Lawn 22_Cs3_S2,,Y,N,,N,N,M,Y,N,N,Y,"103,756",0,"107,448",77.17142923,2
POINT (144.96168143118967 -37.78234866992262),216,Princes Park:  PP - Lawn 3 / Northern CarPark,Princes Park,PP - Lawn 3 / Northern CarPark,,Y,Y,,Y,N,M,Y,N,N,N,"107,696",0,0,0,0
POINT (144.94261415211434 -37.78556955918817),261,Royal Park:  RP - Ross Straw Field S5 (on Ross Straw BB),Royal Park,RP - Ross Straw Field S5 (on Ross Straw BB),,Y,N,,N,N,L,Y,N,N,N,"107,426",0,"106,428",63.14398009,181
POINT (144.9239684670699 -37.79114759202695),406,Other Park Locations:  Women's Peace Garden,Other Park Locations,Women's Peace Garden,,Y,Y,,N,N,L,,N,N,N,"103,363",0,"541,957",38.73435411,128
POINT (144.9840541673097 -37.83979471792946),82,Fawkner Park:  FP - Lawn 13_SB9_SB10_Cs7_SUB3,Fawkner Park,FP - Lawn 13_SB9_SB10_Cs7_SUB3,,Y,N,,N,N,M,Y,Y,N,N,"103,756",0,0,0,0
