poi_id,Name,Theme,Sub Theme,lat,lon
89,Melbourne Star Observation Wheel,Leisure/Recreation,Observation Tower/Wheel,-37.8116163666726,144.937588920436
90,Point Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8233522700646,144.942102276731
91,Newmarket Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7878473341234,144.922972125346
92,Royal Womens Hospital,Health Services,Public Hospital,-37.7988892460088,144.954897253856
93,Fox Classic Car Collection,Place Of Assembly,Art Gallery/Museum,-37.821374430148104,144.94849666170902
94,Wonderland Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.811694535198896,144.936833674975
95,Rod Laver Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.822045611980705,144.97848717378702
96,Melbourne Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.8209085970021,144.978735802793
97,Margaret Court Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.8213252086842,144.977591098955
98,Hisense Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.823110002667,144.981834802535
99,Melbourne Museum,Place Of Assembly,Art Gallery/Museum,-37.803551812929896,144.971690718887
100,IMAX Melbourne,Place Of Assembly,Cinema,-37.8034315561903,144.970639929886
101,Melbourne Theatre Company,Community Use,Public Buildings,-37.823930384815995,144.96829742989402
102,MTC Theatre,Place Of Assembly,Theatre Live,-37.824266183290206,144.968174400274
103,Elisabeth Murdoch Hall,Community Use,Public Buildings,-37.823973370428206,144.967450979234
104,Melbourne Recital Centre,Community Use,Public Buildings,-37.823832788580496,144.967682729667
105,NGV International,Community Use,Public Buildings,-37.8230135000869,144.969342535451
106,Hamer Hall,Place Of Assembly,Theatre Live,-37.8199901009015,144.96799214425698
107,Birrarung Marr,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.81806108403,144.97314667014
108,Artplay,Leisure/Recreation,Indoor Recreation Facility,-37.8184198800044,144.971542586509
109,Riverslide Skate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8207887122448,144.972951789291
