,Theme,Sub Theme,Feature Name,lat,lon,Near,poi_idx,Count
76,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,-37.784444925371204,144.951371205938,[],[],0.0
78,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,-37.8252455123297,144.95435243249,[],[],0.0
79,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,-37.82490404846529,144.952288281644,[],[],0.0
80,Place Of Assembly,Art Gallery/Museum,Polly Woodside,-37.8242574266145,144.95347805206399,[],[],0.0
82,Leisure/Recreation,Private Sports Club/Facility,Melbourne International Shooting Club,-37.8292844929826,144.91341580246402,[],[],0.0
83,Mixed Use,Retail/Office/Carpark,Southgate Arts and Leisure Precinct,-37.820224578659705,144.965989052839,[],[],0.0
84,Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,-37.8266045432686,144.967252924593,['Malthouse Theatre'],[85],1.0
85,Place Of Assembly,Theatre Live,Malthouse Theatre,-37.8271768001126,144.966936821789,['Australian Centre for Contemporary Art'],[84],1.0
86,Place of Worship,Church,St Patricks Cathedral,-37.810114095047396,144.97590152971202,"[""St Peter's Eastern Hill"", 'Lutheran Trinity Church']","[15, 16]",2.0
87,Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,-37.8219947335768,144.968837288153,"['FairFax Studio', 'Playhouse', 'State Theatre']","[54, 55, 56]",3.0
89,Community Use,Public Buildings,Melbourne Town Hall,-37.8150754791411,144.966542722283,"['Council House 2 (CH2)', 'The Melbourne Athenaeum Library', 'Athanaeum Theatre']","[1, 2, 168]",3.0
91,Mixed Use,Retail/Office,DFO South Wharf,-37.824887401234,144.949794297819,[],[],0.0
92,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,-37.821638124489105,144.971049530478,[],[],0.0
93,Community Use,Public Buildings,Sidney Myer Music Bowl,-37.8233471608733,144.974686151365,[],[],0.0
94,Purpose Built,Casino,Crown Entertainment Complex,-37.8235761092516,144.957312880653,[],[],0.0
95,Health Services,Public Hospital,The Royal Victorian Eye & Ear Hospital,-37.808752282986795,144.976268275082,['Fire Services Museum Victoria'],[192],1.0
97,Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,-37.8174831423197,144.969899048343,['Australian Centre For The Moving Image (ACMI)'],[230],1.0
98,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,-37.8178516571684,144.968963600783,['Australian Centre For The Moving Image (ACMI)'],[230],1.0
99,Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,-37.8188662730911,144.9839700954,"['Melbourne Cricket Ground (MCG)', 'National Sports Museum']","[75, 147]",2.0
100,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,-37.8152178789077,144.941617889032,['New Quay Marina'],[107],1.0
101,Purpose Built,Film & RV Studio,Central City Studios,-37.8142318521296,144.935655305362,[],[],0.0
102,Purpose Built,Film & RV Studio,Channel 7 - Melbourne Broadcast Centre,-37.815857233348105,144.94582326909,[],[],0.0
103,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,-37.8209956785618,144.946781702342,[],[],0.0
104,Mixed Use,Retail/Office,Waterfront City,-37.815056661803006,144.939136876334,[],[],0.0
106,Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,-37.824725267396296,144.98380297866,[],[],0.0
107,Transport,Marina,New Quay Marina,-37.8152925454954,144.942283726231,['New Quay'],[100],1.0
108,Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,-37.8165177307702,144.94347501421498,[],[],0.0
109,Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,-37.8116163666726,144.937588920436,['Wonderland Park'],[118],1.0
110,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Point Park,-37.8233522700646,144.942102276731,[],[],0.0
112,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,-37.7878473341234,144.922972125346,[],[],0.0
113,Health Services,Public Hospital,Royal Womens Hospital,-37.7988892460088,144.954897253856,[],[],0.0
115,Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,-37.821374430148104,144.94849666170902,[],[],0.0
118,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,-37.811694535198896,144.936833674975,['Melbourne Star Observation Wheel'],[109],1.0
119,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045611980705,144.97848717378702,[],[],0.0
120,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,-37.8209085970021,144.978735802793,[],[],0.0
121,Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,-37.8213252086842,144.977591098955,[],[],0.0
122,Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,-37.823110002667,144.981834802535,[],[],0.0
123,Place Of Assembly,Art Gallery/Museum,Melbourne Museum,-37.803551812929896,144.971690718887,[],[],0.0
124,Place Of Assembly,Cinema,IMAX Melbourne,-37.8034315561903,144.970639929886,[],[],0.0
125,Community Use,Public Buildings,Melbourne Theatre Company,-37.823930384815995,144.96829742989402,"['MTC Theatre', 'Elisabeth Murdoch Hall', 'Melbourne Recital Centre']","[126, 127, 128]",3.0
126,Place Of Assembly,Theatre Live,MTC Theatre,-37.824266183290206,144.968174400274,"['Melbourne Theatre Company', 'Elisabeth Murdoch Hall', 'Melbourne Recital Centre']","[125, 127, 128]",3.0
127,Community Use,Public Buildings,Elisabeth Murdoch Hall,-37.823973370428206,144.967450979234,"['Melbourne Theatre Company', 'MTC Theatre', 'Melbourne Recital Centre']","[125, 126, 128]",3.0
128,Community Use,Public Buildings,Melbourne Recital Centre,-37.823832788580496,144.967682729667,"['Melbourne Theatre Company', 'MTC Theatre', 'Elisabeth Murdoch Hall']","[125, 126, 127]",3.0
129,Community Use,Public Buildings,NGV International,-37.8230135000869,144.969342535451,[],[],0.0
130,Place Of Assembly,Theatre Live,Hamer Hall,-37.8199901009015,144.96799214425698,[],[],0.0
131,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,-37.81806108403,144.97314667014,[],[],0.0
132,Leisure/Recreation,Indoor Recreation Facility,Artplay,-37.8184198800044,144.971542586509,[],[],0.0
133,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,-37.8207887122448,144.972951789291,[],[],0.0
134,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,-37.8206051404251,144.971796067365,[],[],0.0
135,Transport,Railway Station,Parliament Railway Station,-37.811606178717106,144.97301726315598,['Parliament Railway Station'],[158],1.0
136,Transport,Railway Station,Richmond Railway Station (Richmond) - Train stop,-37.8238992659834,144.98940075166402,[],[],0.0
137,Transport,Railway Station,Jolimont-MCG Railway Station (East Melbourne) - Train stop,-37.816565181166794,144.983641003377,[],[],0.0
138,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),North Melbourne Recreation Reserve,-37.7988345257153,144.941452061463,[],[],0.0
139,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,-37.7982358832177,144.923837074813,[],[],0.0
140,Transport,Railway Station,Macaulay Railway Station (North Melbourne) - Train stop,-37.794964001386,144.93619075663202,[],[],0.0
141,Transport,Railway Station,Kensington Railway Station,-37.793914012637295,144.93071020751802,[],[],0.0
142,Transport,Railway Station,South Kensington Railway Station,-37.7997270537735,144.925837749713,[],[],0.0
143,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,-37.790617425658105,144.95383424064698,[],[],0.0
144,Health Services,Public Hospital,Royal Childrens Hospital,-37.7942060847278,144.950048264678,[],[],0.0
145,Transport,Railway Station,Royal Park Railway Station,-37.7812684282825,144.951667833921,[],[],0.0
146,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,-37.7870161727156,144.961115214367,[],[],0.0
147,Place Of Assembly,Art Gallery/Museum,National Sports Museum,-37.818954490946204,144.98466980938102,['Thoroughbred Racing Gallery'],[99],1.0
148,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,-37.8320733992876,144.97362836446501,[],[],0.0
149,Community Use,Public Buildings,Shrine of Remembrance,-37.8302080020387,144.97344191362302,[],[],0.0
151,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,-37.8306631583233,144.980850432751,[],[],0.0
152,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,-37.820469374101,144.986671109615,[],[],0.0
157,Leisure/Recreation,Indoor Recreation Facility,Icehouse,-37.8121881194053,144.93568401887302,[],[],0.0
158,Transport,Railway Station,Parliament Railway Station,-37.8121572789173,144.973742010011,"['Parliament Railway Station', 'Parliament Railway Station']","[135, 159]",2.0
159,Transport,Railway Station,Parliament Railway Station,-37.812762111355205,144.973433796529,['Parliament Railway Station'],[158],1.0
160,Transport,Railway Station,Parliament Railway Station,-37.8095762219384,144.972330132127,[],[],0.0
161,Transport,Railway Station,Flagstaff Railway Station,-37.811638440397395,144.9561186805,['Flagstaff Railway Station'],[72],1.0
162,Transport,Railway Station,Melbourne Central Railway Station,-37.8097759325888,144.962670059539,['Melbourne Central'],[200],1.0
163,Transport,Railway Station,Melbourne Central Railway Station,-37.8105992402369,144.96169061383,[],[],0.0
164,Transport,Railway Station,Melbourne Central Railway Station,-37.8108930047401,144.963100728702,"['Church of Christ', 'Melbourne Central']","[11, 200]",2.0
165,Transport,Railway Station,Flemington Racecourse Railway Station,-37.7869105822519,144.90819070606898,[],[],0.0
166,Transport,Railway Station,Showgrounds Railway Station (Flemington),-37.783465121624396,144.914902626775,[],[],0.0
167,Transport,Railway Station,Newmarket Railway Station,-37.787272624196504,144.92905995811398,[],[],0.0
168,Place Of Assembly,Theatre Live,Athanaeum Theatre,-37.814954347831,144.96732254212,"['The Melbourne Athenaeum Library', 'Collins Street Baptist Church', 'Melbourne Town Hall']","[2, 28, 89]",3.0
169,Health Services,Public Hospital,Alfred Hospital,-37.8462631206461,144.981786260765,[],[],0.0
170,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,-37.7948375315825,144.915607065132,[],[],0.0
171,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Darling Square,-37.81299206932,144.989062559512,[],[],0.0
172,Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,-37.7976589943217,144.968750113566,[],[],0.0
173,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,-37.811122288927706,144.95469605523502,[],[],0.0
174,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,-37.782309785088295,144.910822117306,[],[],0.0
176,Place Of Assembly,Theatre Live,Her Majesty's Theatre,-37.8109975612842,144.969520183129,['The Museum Of Australian Chinese History'],[240],1.0
177,Place Of Assembly,Theatre Live,Comedy Theatre,-37.810205394516295,144.97013311862,[],[],0.0
178,Place Of Assembly,Theatre Live,La Mama Theatre,-37.799130495673296,144.967669503083,[],[],0.0
180,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fawkner Park,-37.8413996708186,144.981625667877,[],[],0.0
181,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fitzroy Gardens,-37.8129616331579,144.980455714669,[],[],0.0
182,Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,-37.8145407488014,144.980554992725,[],[],0.0
184,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Enterprize Park,-37.820210269629,144.959276859602,[],[],0.0
185,Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,-37.8222182774409,144.954039975197,[],[],0.0
186,Place Of Assembly,Art Gallery/Museum,Immigration Museum,-37.81917987980621,144.96042677712902,[],[],0.0
187,Place of Worship,Church,St Pauls Cathedral,-37.8169549012399,144.967681647402,[],[],0.0
188,Place Of Assembly,Theatre Live,Forum Theatre,-37.816485409696,144.96938655699802,[],[],0.0
189,Transport,Railway Station,Flinders Street Railway Station,-37.8179063007545,144.967064817875,[],[],0.0
191,Mixed Use,Retail/Office/Carpark,"Melbourne Wholesale Fruit, Vegetable & Flower Market",-37.80687252157,144.923287444259,[],[],0.0
192,Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,-37.8085761281612,144.975373745366,['The Royal Victorian Eye & Ear Hospital'],[95],1.0
194,Health Services,Public Hospital,Royal Melbourne Hospital,-37.799307166409605,144.956389746765,[],[],0.0
195,Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,-37.7973939595503,144.964156669702,[],[],0.0
197,Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,-37.8133854259085,144.954027907736,[],[],0.0
200,Mixed Use,Retail/Office/Carpark,Melbourne Central,-37.8105371797142,144.962749729496,"['Melbourne Central Railway Station', 'Melbourne Central Railway Station']","[162, 164]",2.0
201,Transport,Railway Station,Melbourne Central Railway Station,-37.8100167030855,144.963789344893,"['Church of Christ', 'State Library Victoria']","[11, 64]",2.0
202,Mixed Use,Retail/Office/Residential/Carpark,QV Village,-37.810689189745396,144.965714574014,[],[],0.0
203,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Argyle Square,-37.8031480577285,144.965761295089,['Piazza Italia'],[204],1.0
204,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Piazza Italia,-37.80251641925229,144.96586309294702,['Argyle Square'],[203],1.0
205,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Macarthur Square,-37.7983318676737,144.971514146104,[],[],0.0
206,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Murchinson Square,-37.8002735025371,144.973059252203,[],[],0.0
207,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parliament Reserve,-37.809852620638,144.973462202839,[],[],0.0
208,Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),-37.7999470049655,144.94329080186898,[],[],0.0
210,Leisure/Recreation,Gymnasium/Health Club,North Melbourne Recreation Centre (Gymnasium),-37.7997051197931,144.940368286395,[],[],0.0
211,Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,-37.793437704260896,144.971696548624,[],[],0.0
212,Leisure/Recreation,Major Sports & Recreation Facility,City Baths,-37.8071585350561,144.96318978972099,[],[],0.0
213,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Westgate Park,-37.8314918578874,144.908824792698,[],[],0.0
214,Transport,Railway Station,North Melbourne Railway Station,-37.8073823625058,144.942429848025,[],[],0.0
215,Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,-37.8144604899837,144.979471339826,[],[],0.0
216,Community Use,Public Buildings,Conservatory,-37.814002127195,144.9785597431,[],[],0.0
217,Purpose Built,Aquarium,Melbourne Aquarium,-37.8209627824685,144.958425696055,[],[],0.0
218,Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,-37.824245685859296,144.979720306309,[],[],0.0
219,Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,-37.804602624320005,144.97152191495198,[],[],0.0
221,Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,-37.8161760471742,144.947496254547,[],[],0.0
222,Leisure/Recreation,Observation Tower/Wheel,Eureka Skydeck 88,-37.8216187583314,144.964622218598,['Eureka Tower'],[223],1.0
223,Mixed Use,Retail/Residential,Eureka Tower,-37.8215157539717,144.964456721965,['Eureka Skydeck 88'],[222],1.0
225,Health Services,Public Hospital,Peter Maccallum Cancer Institute,-37.8114766732026,144.977400949063,[],[],0.0
226,Health Services,Public Hospital,Royal Dental Hospital,-37.7995065904416,144.964526842767,[],[],0.0
227,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Sandridge Rail Bridge,-37.8201763042794,144.96298113723998,[],[],0.0
228,Mixed Use,Retail/Office/Residential/Carpark,Freshwater Place,-37.8219745489446,144.96246144843,[],[],0.0
230,Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),-37.817610732720205,144.969070431323,"['The Ian Potter Centre: NGV Australia', 'Federation Square']","[97, 98]",2.0
231,Transport,Bridge,Webb Bridge,-37.823205238450704,144.947291011905,[],[],0.0
232,Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,-37.8097374138234,144.98138341159202,[],[],0.0
234,Retail,Department Store,Myer,-37.8135911985281,144.963855087868,['David Jones'],[235],1.0
235,Retail,Department Store,David Jones,-37.81331272606379,144.964373486798,['Myer'],[234],1.0
236,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Lincoln Square,-37.8027919689732,144.962760852233,[],[],0.0
237,Health Services,Private Hospital,Epworth Freemasons Hospital,-37.8109710654051,144.98370007659,[],[],0.0
239,Health Services,Medical Services,Mercy Private Hospital,-37.811896809802,144.984435746587,['Melbourne Unitarian Church'],[20],1.0
240,Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,-37.8107686127655,144.96923385414,"[""Her Majesty's Theatre""]",[176],1.0
241,Mixed Use,Retail/Office/Carpark,ANZ 'Gothic' Bank,-37.816158066602895,144.96167371924201,[],[],0.0
