water_id,poi_id,Description,lat,lon,distance
321,107,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Shrine of Remembrance Reserve,-37.83081555124981,144.97427512305256,6.539973118042266
322,108,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Kings Domain South,-37.8334339089649,144.98151523466336,18.16471407652357
323,108,Drinking Fountain - Treated Timber Drinking Fountain - Alexandra Park,-37.827601958389536,144.9819469602272,20.71927858042364
324,108,Drinking fountain - unspecified type - Alexandra Park,-37.82792492555463,144.98354503295144,24.400684994357345
325,109,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81734781558377,144.9877967436974,21.146779715977868
326,109,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81649090115357,144.98515748991457,27.12472641245481
327,109,Drinking Fountain - Old Style Steel Drinking Fountain,-37.816927072109706,144.9837045105586,29.38268146716073
328,110,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81515985140142,144.93712549711364,21.039568352420318
329,110,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.814695182979264,144.93847737611912,23.85291716701498
330,110,Drinking Fountain - Leaf Type - Dog Bowl  - New Quay Central Park,-37.81472791168905,144.93868934270515,25.000565281406512
331,111,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.815447719564624,144.96705501075527,3.5741190606373574
332,111,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81437201868546,144.96613327636362,8.400238912339283
333,111,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81506309138496,144.9689920380753,10.599328541186168
334,112,Drinking Fountain- Wooden Slat Supports,-37.794514550170504,144.91591225394643,2.828045661877148
335,112,Drinking Fountain - Leaf Type - Dog Bowl - Stockmans Way,-37.79403468455117,144.91961812395766,25.97608752818739
336,112,Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,-37.798130093325604,144.92171759711218,44.10820590432786
337,113,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81328717472797,144.98924115987992,2.1962218410090832
338,113,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81232314728076,144.98893301349375,4.3446467222939145
339,113,Drinking Fountain - Drinking Fountain - Type 1,-37.810999491972076,144.99096539168528,17.51941575154078
340,114,Drinking Fountain - Drinking Fountain - Lygon St Type,-37.79775185327968,144.96744736482995,8.289763441707779
341,114,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.79701104423778,144.96719442537858,10.704273031560163
342,114,Drinking Fountain - Drinking Fountain - Monument Style Type 2,-37.79825505675542,144.97056606707608,12.136418388058514
343,115,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81144127333385,144.9551162672695,3.351435898905691
344,115,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Flagstaff Gardens,-37.81043106640399,144.95558395492208,7.1489528734119965
345,115,Drinking Fountain - Treated Timber Drinking Fountain - Flagstaff Gardens,-37.809792956338455,144.95510199726527,8.860324016551738
346,116,Drinking Fountain- Wooden Slat Supports,-37.794514550170504,144.91591225394643,84.29085912385545
347,116,Drinking Fountain - Leaf Type - Dog Bowl - Stockmans Way,-37.79403468455117,144.91961812395766,93.35223038358512
348,116,Drinking Fountain - Leaf Type - Dog Bowl  - Newmarket Reserve,-37.787849483788314,144.92456233354102,94.18936049163634
349,117,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81191194838843,144.97076931535327,9.832933562635922
350,117,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81056708776496,144.96772094101254,11.729933357470522
351,117,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81261776692698,144.9683505786709,12.717259042852932
352,118,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81191194838843,144.97076931535327,11.607296137734934
353,118,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81033905955521,144.9724239787079,14.545930321277607
354,118,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81056708776496,144.96772094101254,15.462768423092552
355,119,Drinking Fountain - Drinking Fountain - Lygon St Type,-37.79775185327968,144.96744736482995,8.905284610809348
356,119,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80056485451508,144.9668454274885,10.53744762763914
357,119,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.79701104423778,144.96719442537858,13.85005880148488
