poi_id,Feature Name,Theme,Sub Theme,Address,lat,lon,interest
37,Carlton Football Club,Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club Oval Royal Parade  Carlton North,-37.7840864379557,144.961967841559,spectator of sport
38,Visy Park,Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club Oval Royal Parade  Carlton North,-37.7834303940347,144.96198257755302,spectator of sport
39,Queen Victoria Market,Retail,Retail,"Stall 10, Shed F, Queen Victoria Market Peel Street  Melbourne",-37.8075002018073,144.957158515056,shopping
40,Carlton Gardens North,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),57 Carlton Street  Carlton,-37.80176908474029,144.971997551189,"hangout, sport, park"
41,Old Melbourne Gaol Crime & Justice Experience,Place Of Assembly,Art Gallery/Museum,377 Russell Street  Melbourne,-37.8077644149636,144.965463853978,museum
42,Kings Domain,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Toilet Kings Domain Alexandra Avenue  Melbourne,-37.825523979583295,144.974107925144,"hangout, sport, park"
43,FairFax Studio,Place Of Assembly,Theatre Live,106 St Kilda Road  Southbank,-37.821668458188704,144.968836241692,cinema
44,Playhouse,Place Of Assembly,Theatre Live,3 Sturt Street  Southbank,-37.8218124583016,144.968337832721,cinema
45,State Theatre,Place Of Assembly,Theatre Live,1 Sturt Street  Southbank,-37.8212806349773,144.968469643744,cinema
46,St Martins Youth Arts Centre,Place Of Assembly,Theatre Live,42 St Martins Lane  South Yarra,-37.8352429531289,144.98114217385,cinema
47,Flemington Racecourse,Leisure/Recreation,Major Sports & Recreation Facility,398 Smithfield Road  Flemington,-37.7908082646624,144.912142987372,spectator of sport
48,Princess Theatre,Place Of Assembly,Theatre Live,9 Little Bourke Street  Melbourne,-37.8107257091302,144.97232659620002,cinema
49,Treasury Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),322 Wellington Parade  East Melbourne,-37.8143993575938,144.975952335785,"hangout, sport, park"
50,State Library Victoria,Community Use,Public Buildings,318 Swanston Street  Melbourne,-37.8099852201226,144.964330322397,"hangout, park, spectator of sport"
51,Regent Theatre,Place Of Assembly,Theatre Live,194 Flinders Lane  Melbourne,-37.816001474417895,144.967916735261,cinema
52,Treasury Reserve,Mixed Use,Retail/Office,1 Treasury Place  East Melbourne,-37.8129178793082,144.975236759799,shopping
53,Batman Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),52 Rebecca Walk  Melbourne,-37.8218460949601,144.956665812218,"hangout, sport, park"
54,Richmond Football Club,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Richmond Cricket Club Punt Road  East Melbourne,-37.8216740022008,144.988156318781,"hangout, sport, park"
55,Melbourne Cricket Ground (MCG),Leisure/Recreation,Major Sports & Recreation Facility,Yarra Park 120 Brunton Avenue  East Melbourne,-37.8194921618419,144.983402879078,spectator of sport
56,Melbourne Zoo,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)","House 1, Melbourne Zoological Gardens Elliott Avenue  Parkville",-37.784444925371204,144.951371205938,"hangout, sport, park"
57,Melbourne Exhibition Centre,Place Of Assembly,Function/Conference/Exhibition Centre,2A Clarendon Street  South Wharf,-37.8252455123297,144.95435243249,hangout
58,Melbourne Convention Centre,Place Of Assembly,Function/Conference/Exhibition Centre,Rear 30 Lorimer Street  South Wharf,-37.82490404846529,144.952288281644,hangout
59,Polly Woodside,Place Of Assembly,Art Gallery/Museum,23 South Wharf Promenade  South Wharf,-37.8242574266145,144.95347805206399,museum
60,Melbourne International Shooting Club,Leisure/Recreation,Private Sports Club/Facility,134 Todd Road  Port Melbourne,-37.8292844929826,144.91341580246402,sport
61,Southgate Arts and Leisure Precinct,Mixed Use,Retail/Office/Carpark,1 Southgate Avenue  Southbank,-37.820224578659705,144.965989052839,shopping
62,Australian Centre for Contemporary Art,Place Of Assembly,Art Gallery/Museum,54 Dodds Street  Southbank,-37.8266045432686,144.967252924593,museum
63,Malthouse Theatre,Place Of Assembly,Theatre Live,121 Sturt Street  Southbank,-37.8271768001126,144.966936821789,cinema
64,St Patricks Cathedral,Place of Worship,Church,12 Gisborne Street  East Melbourne,-37.810114095047396,144.97590152971202,religious
65,Victorian Arts Centre,Place Of Assembly,Art Gallery/Museum,122 St Kilda Road  Southbank,-37.8219947335768,144.968837288153,museum
66,Melbourne Town Hall,Community Use,Public Buildings,102 Swanston Street  Melbourne,-37.8150754791411,144.966542722283,"hangout, park, spectator of sport"
67,DFO South Wharf,Mixed Use,Retail/Office,20 Convention Centre Place  South Wharf,-37.824887401234,144.949794297819,shopping
68,Queen Victoria Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens St Kilda Road  Melbourne,-37.821638124489105,144.971049530478,"hangout, sport, park"
69,Sidney Myer Music Bowl,Community Use,Public Buildings,Sidney Myer Music Bowl Alexandra Avenue  Melbourne,-37.8233471608733,144.974686151365,"hangout, park, spectator of sport"
70,Crown Entertainment Complex,Purpose Built,Casino,"Shop 38A, Ground 8 Whiteman Street  Southbank",-37.8235761092516,144.957312880653,hangout
71,The Ian Potter Centre: NGV Australia,Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia 2 Swanston Street  Melbourne,-37.8174831423197,144.969899048343,museum
72,Federation Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),"Square, Federation Square 2 Swanston Street  Melbourne",-37.8178516571684,144.968963600783,"hangout, sport, park"
73,Thoroughbred Racing Gallery,Place Of Assembly,Art Gallery/Museum,Yarra Park 120 Brunton Avenue  East Melbourne,-37.8188662730911,144.9839700954,museum
74,New Quay,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),55A Newquay Promenade  Docklands,-37.8152178789077,144.941617889032,"hangout, sport, park"
75,Docklands Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),45 Navigation Drive  Docklands,-37.8209956785618,144.946781702342,"hangout, sport, park"
76,Waterfront City,Mixed Use,Retail/Office,2 Glenti Place  Docklands,-37.815056661803006,144.939136876334,shopping
77,AAMI Park,Leisure/Recreation,Major Sports & Recreation Facility,82 Olympic Boulevard  Melbourne,-37.824725267396296,144.98380297866,spectator of sport
78,New Quay Marina,Transport,Marina,35 Newquay Promenade  Docklands,-37.8152925454954,144.942283726231,hangout
79,Central Pier,Place Of Assembly,Function/Conference/Exhibition Centre,Shed 14 Victoria Harbour  Docklands,-37.8165177307702,144.94347501421498,hangout
80,Melbourne Star Observation Wheel,Leisure/Recreation,Observation Tower/Wheel,101 Waterfront Way  Docklands,-37.8116163666726,144.937588920436,hangout
81,Point Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),3 Point Park Crescent  Docklands,-37.8233522700646,144.942102276731,"hangout, sport, park"
82,Newmarket Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),417 Racecourse Road  Kensington,-37.7878473341234,144.922972125346,"hangout, sport, park"
83,Fox Classic Car Collection,Place Of Assembly,Art Gallery/Museum,37 Batmans Hill Drive  Docklands,-37.821374430148104,144.94849666170902,museum
84,Wonderland Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",14 Star Circus  Docklands,-37.811694535198896,144.936833674975,"hangout, sport, park"
85,Rod Laver Arena,Leisure/Recreation,Major Sports & Recreation Facility,Basement Melbourne Park Batman Avenue  Melbourne,-37.822045611980705,144.97848717378702,spectator of sport
86,Melbourne Park,Leisure/Recreation,Major Sports & Recreation Facility,"Corp. Box Rod Laver Arena, Melbourne Park Batman Avenue  Melbourne",-37.8209085970021,144.978735802793,spectator of sport
87,Margaret Court Arena,Leisure/Recreation,Major Sports & Recreation Facility,"Rod Laver Arena, Melbourne Park Batman Avenue  Melbourne",-37.8213252086842,144.977591098955,spectator of sport
88,Hisense Arena,Leisure/Recreation,Major Sports & Recreation Facility,"Hisense Arena, Melbourne Park Olympic Boulevard  Melbourne",-37.823110002667,144.981834802535,spectator of sport
89,Melbourne Museum,Place Of Assembly,Art Gallery/Museum,IMAX Theatre Rathdowne Street  Carlton,-37.803551812929896,144.971690718887,museum
90,IMAX Melbourne,Place Of Assembly,Cinema,IMAX Theatre Rathdowne Street  Carlton,-37.8034315561903,144.970639929886,cinema
91,Melbourne Theatre Company,Community Use,Public Buildings,144 Southbank Boulevard  Southbank,-37.823930384815995,144.96829742989402,"hangout, park, spectator of sport"
92,MTC Theatre,Place Of Assembly,Theatre Live,16 Dodds Street  Southbank,-37.824266183290206,144.968174400274,cinema
93,Elisabeth Murdoch Hall,Community Use,Public Buildings,19 Sturt Street  Southbank,-37.823973370428206,144.967450979234,"hangout, park, spectator of sport"
94,Melbourne Recital Centre,Community Use,Public Buildings,136 Southbank Boulevard  Southbank,-37.823832788580496,144.967682729667,"hangout, park, spectator of sport"
95,NGV International,Community Use,Public Buildings,180 St Kilda Road  Southbank,-37.8230135000869,144.969342535451,"hangout, park, spectator of sport"
96,Hamer Hall,Place Of Assembly,Theatre Live,2 St Kilda Road  Southbank,-37.8199901009015,144.96799214425698,cinema
97,Birrarung Marr,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr Batman Avenue  Melbourne,-37.81806108403,144.97314667014,"hangout, sport, park"
98,Artplay,Leisure/Recreation,Indoor Recreation Facility,"Artplay, Birrarung Marr Batman Avenue  Melbourne",-37.8184198800044,144.971542586509,sport
99,Riverslide Skate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Residence Alexandra Gardens Alexandra Avenue  Melbourne,-37.8207887122448,144.972951789291,"hangout, sport, park"
100,Alexandra Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens Alexandra Avenue  Melbourne,-37.8206051404251,144.971796067365,"hangout, sport, park"
101,North Melbourne Recreation Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),97 Macaulay Road  North Melbourne,-37.7988345257153,144.941452061463,"hangout, sport, park"
102,J.J Holland Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),The Bill Vanina Sports Pavilion 1A Childers Street  Kensington,-37.7982358832177,144.923837074813,"hangout, sport, park"
103,Royal Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park Flemington Road  Parkville,-37.790617425658105,144.95383424064698,"hangout, sport, park"
104,Princes Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park Royal Parade  Carlton North,-37.7870161727156,144.961115214367,"hangout, sport, park"
105,National Sports Museum,Place Of Assembly,Art Gallery/Museum,Yarra Park 120 Brunton Avenue  East Melbourne,-37.818954490946204,144.98466980938102,museum
106,Shrine of Rembrance Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),12 Domain Road  Melbourne,-37.8320733992876,144.97362836446501,"hangout, sport, park"
107,Shrine of Remembrance,Community Use,Public Buildings,Shrine of Remembrance Reserve St Kilda Road  Melbourne,-37.8302080020387,144.97344191362302,"hangout, park, spectator of sport"
108,Royal Botanic Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens Victoria Birdwood Avenue  Melbourne,-37.8306631583233,144.980850432751,"hangout, sport, park"
109,Yarra Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park Brunton Avenue  East Melbourne,-37.820469374101,144.986671109615,"hangout, sport, park"
110,Icehouse,Leisure/Recreation,Indoor Recreation Facility,111 Pearl River Road  Docklands,-37.8121881194053,144.93568401887302,sport
111,Athanaeum Theatre,Place Of Assembly,Theatre Live,190 Collins Street  Melbourne,-37.814954347831,144.96732254212,cinema
112,Riverside Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",71 Speakmen Street  Kensington,-37.7948375315825,144.915607065132,"hangout, sport, park"
113,Darling Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),13 Darling Street  East Melbourne,-37.81299206932,144.989062559512,"hangout, sport, park"
114,Carlton Courthouse Theatre,Place Of Assembly,Theatre Live,1 Court House Place  Carlton,-37.7976589943217,144.968750113566,cinema
115,Flagstaff Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens Dudley Street  West Melbourne,-37.811122288927706,144.95469605523502,"hangout, sport, park"
116,Melbourne Showgrounds,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",16 Langs Road,-37.782309785088295,144.910822117306,"hangout, sport, park"
117,Her Majesty's Theatre,Place Of Assembly,Theatre Live,96 Little Bourke Street  Melbourne,-37.8109975612842,144.969520183129,cinema
118,Comedy Theatre,Place Of Assembly,Theatre Live,79 Lonsdale Street  Melbourne,-37.810205394516295,144.97013311862,cinema
119,La Mama Theatre,Place Of Assembly,Theatre Live,66 University Street  Carlton,-37.799130495673296,144.967669503083,cinema
120,Fawkner Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),"Northern Pavilion, Fawkner Park Toorak Road  South Yarra",-37.8413996708186,144.981625667877,"hangout, sport, park"
121,Fitzroy Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),"The Pavilion, Fitzroy Gardens Wellington Parade  East Melbourne",-37.8129616331579,144.980455714669,"hangout, sport, park"
122,Sinclair's Cottage,Place Of Assembly,Art Gallery/Museum,"Sinclairs Cottage, Fitzroy Gardens Wellington Parade  East Melbourne",-37.8145407488014,144.980554992725,museum
123,Enterprize Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),479 Flinders Street  Melbourne,-37.820210269629,144.959276859602,"hangout, sport, park"
124,Victoria Police Museum,Place Of Assembly,Art Gallery/Museum,22 Siddeley Street  Docklands,-37.8222182774409,144.954039975197,museum
125,Immigration Museum,Place Of Assembly,Art Gallery/Museum,412 Flinders Street  Melbourne,-37.81917987980621,144.96042677712902,museum
126,St Pauls Cathedral,Place of Worship,Church,28 Swanston Street  Melbourne,-37.8169549012399,144.967681647402,religious
127,Forum Theatre,Place Of Assembly,Theatre Live,6 Hosier Lane  Melbourne,-37.816485409696,144.96938655699802,cinema
128,"Melbourne Wholesale Fruit, Vegetable & Flower Market",Mixed Use,Retail/Office/Carpark,540 Footscray Road  West Melbourne,-37.80687252157,144.923287444259,shopping
129,Fire Services Museum Victoria,Place Of Assembly,Art Gallery/Museum,114 Victoria Parade  East Melbourne,-37.8085761281612,144.975373745366,museum
130,The Ian Potter Museum Of Art,Place Of Assembly,Art Gallery/Museum,815 Swanston Street  Parkville,-37.7973939595503,144.964156669702,museum
131,Koorie Heritage Trust Inc,Place Of Assembly,Art Gallery/Museum,516 Little Lonsdale Street  Melbourne,-37.8133854259085,144.954027907736,museum
132,Melbourne Central,Mixed Use,Retail/Office/Carpark,"Shop 4A, Ground 300 Lonsdale Street  Melbourne",-37.8105371797142,144.962749729496,shopping
133,Argyle Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),20 Argyle Place South  Carlton,-37.8031480577285,144.965761295089,"hangout, sport, park"
134,Piazza Italia,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),21 Argyle Place North  Carlton,-37.80251641925229,144.96586309294702,"hangout, sport, park"
135,Macarthur Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),39 MacArthur Place North  Carlton,-37.7983318676737,144.971514146104,"hangout, sport, park"
136,Murchinson Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),40 Owen Street  Carlton,-37.8002735025371,144.973059252203,"hangout, sport, park"
137,Parliament Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),519 Albert Street  East Melbourne,-37.809852620638,144.973462202839,"hangout, sport, park"
138,North Melbourne Recreation Centre (Aquatic),Leisure/Recreation,Major Sports & Recreation Facility,7 Macaulay Road  North Melbourne,-37.7999470049655,144.94329080186898,spectator of sport
139,North Melbourne Recreation Centre (Gymnasium),Leisure/Recreation,Gymnasium/Health Club,206 Arden Street  North Melbourne,-37.7997051197931,144.940368286395,sport
140,Carlton Baths,Leisure/Recreation,Indoor Recreation Facility,234 Rathdowne Street  Carlton,-37.793437704260896,144.971696548624,sport
141,City Baths,Leisure/Recreation,Major Sports & Recreation Facility,6 Franklin Street  Melbourne,-37.8071585350561,144.96318978972099,spectator of sport
142,Westgate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),9 Webb Dock Drive  Port Melbourne,-37.8314918578874,144.908824792698,"hangout, sport, park"
143,Cooks' Cottage,Place Of Assembly,Art Gallery/Museum,"Cooks' Cottage, Fitzroy Gardens Wellington Parade  East Melbourne",-37.8144604899837,144.979471339826,museum
144,Conservatory,Community Use,Public Buildings,"Conservatory, Fitzroy Gardens Wellington Parade  East Melbourne",-37.814002127195,144.9785597431,"hangout, park, spectator of sport"
145,Melbourne Aquarium,Purpose Built,Aquarium,Sea Life Melbourne Aquarium King Street  Melbourne,-37.8209627824685,144.958425696055,hangout
146,Westpac Centre,Leisure/Recreation,Major Sports & Recreation Facility,16 Olympic Boulevard  Melbourne,-37.824245685859296,144.979720306309,spectator of sport
147,Royal Exhibition Building,Place Of Assembly,Art Gallery/Museum,IMAX Theatre Rathdowne Street  Carlton,-37.804602624320005,144.97152191495198,museum
148,Etihad Stadium,Leisure/Recreation,Major Sports & Recreation Facility,151 Wurundjeri Way  Docklands,-37.8161760471742,144.947496254547,spectator of sport
149,Eureka Skydeck 88,Leisure/Recreation,Observation Tower/Wheel,5 Riverside Quay  Southbank,-37.8216187583314,144.964622218598,hangout
150,Sandridge Rail Bridge,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Sandridge Rail Bridge  Southbank,-37.8201763042794,144.96298113723998,"hangout, sport, park"
151,Australian Centre For The Moving Image (ACMI),Place Of Assembly,Art Gallery/Museum,"Alfred Deakin Building, Federation Square 2 Swanston Street  Melbourne",-37.817610732720205,144.969070431323,museum
152,Dallas Brooks Centre,Place Of Assembly,Function/Conference/Exhibition Centre,8 Eades Street  East Melbourne,-37.8097374138234,144.98138341159202,hangout
153,Myer,Retail,Department Store,328 Bourke Street  Melbourne,-37.8135911985281,144.963855087868,shopping
154,David Jones,Retail,Department Store,308 Bourke Street  Melbourne,-37.81331272606379,144.964373486798,shopping
155,Lincoln Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),24 Lincoln Square South  Carlton,-37.8027919689732,144.962760852233,"hangout, sport, park"
156,The Museum Of Australian Chinese History,Place Of Assembly,Art Gallery/Museum,20 Cohen Place  Melbourne,-37.8107686127655,144.96923385414,museum
157,ANZ 'Gothic' Bank,Mixed Use,Retail/Office/Carpark,96 Queen Street  Melbourne,-37.816158066602895,144.96167371924201,shopping
158,Urban Design Double Hotplate - Warun Biik Park,BBQ,BBQ,40 Clifford Terrace  Kensington,-37.79622323577933,144.92664735447931,bbq
159,Urban Design Double Hotplate,BBQ,BBQ,Toilet Alexandra Park Alexandra Avenue  Melbourne,-37.827733376900184,144.98268472258306,bbq
160,Urban Design Double Hotplate - Royal Park,BBQ,BBQ,48 Flemington Road  Parkville,-37.795058081860596,144.9510416368276,bbq
161,Urban Design Single Hotplate,BBQ,BBQ,Toilet Alexandra Gardens Alexandra Avenue  Melbourne,-37.81982134223691,144.97480170753713,bbq
162,Urban Design Single Hotplate - Riverside Quay (SOUTHBANK),BBQ,BBQ,8 Riverside Quay  Southbank,-37.821250861671416,144.9642136722747,bbq
163,Urban Design Double Hotplate Spanning Two Units - Batman Park,BBQ,BBQ,26 Rebecca Walk  Melbourne,-37.821751221204465,144.9572847140256,bbq
164,Urban Design Double Hotplate Spanning Two Units - Gardiner Reserve,BBQ,BBQ,125 Haines Street  North Melbourne,-37.799102729387386,144.94347733019532,bbq
165,Urban Design Single Hotplate,BBQ,BBQ,"North Park Tennis Club, Royal Park Flemington Road  Parkville",-37.78998719902451,144.94502340388996,bbq
166,Urban Design Single Hotplate,BBQ,BBQ,Bellair Street Reserve Bellair Street  Kensington,-37.79557201558579,144.93078549022908,bbq
167,Urban Design Single Hotplate - Hawke and Adderley Street Park,BBQ,BBQ,100 Hawke Street  West Melbourne,-37.808803420080686,144.9450258108489,bbq
168,Urban Design Double Hotplate,BBQ,BBQ,"Ross Straw Field Pavilion, Royal Park Oak Street  Parkville",-37.782916588346865,144.94362553123742,bbq
169,Urban Design Single Hotplate,BBQ,BBQ,121 Princes Park Drive  Carlton North,-37.785038996971224,144.96222644314096,bbq
170,Docklands Barbeque - All Chromed - Wharfs Landing Park,BBQ,BBQ,72 South Wharf Drive  Docklands,-37.82197015645569,144.93671241740378,bbq
171,Urban Design Double Hotplate,BBQ,BBQ,"Ross Straw Field Pavilion, Royal Park Oak Street  Parkville",-37.783058736135814,144.94436043862845,bbq
172,Urban Design Double Hotplate,BBQ,BBQ,109 Kensington Road  Kensington,-37.797946142132304,144.92142020526532,bbq
173,Bluestone Single Hotplate - Powlett Reserve,BBQ,BBQ,67 Albert Street  East Melbourne,-37.811221045076095,144.98662556673142,bbq
174,Docklands Barbeque - All Chromed - Boyd Community Hub,BBQ,BBQ,124 Kavanagh Street  Southbank,-37.82601058338085,144.9618637841363,bbq
175,Urban Design Double Hotplate - Ron Barassi Senior Park,BBQ,BBQ,522 Docklands Drive  Docklands,-37.817081542493305,144.93419238830612,bbq
176,Urban Design Single Hotplate,BBQ,BBQ,Melbourne Zoological Gardens Elliott Avenue  Parkville,-37.78697854970881,144.95295755838,bbq
177,Urban Design Double Hotplate Spanning Two Units - Batman Park,BBQ,BBQ,28 Rebecca Walk  Melbourne,-37.8217761845749,144.9572380152308,bbq
178,Urban Design Single Hotplate,BBQ,BBQ,Melbourne Zoological Gardens Elliott Avenue  Parkville,-37.78681162435032,144.9529508095725,bbq
179,Urban Design Double Hotplate - Royal Park,BBQ,BBQ,31 Gatehouse Street  Parkville,-37.79551100378922,144.95191663904743,bbq
180,Urban Design Single Hotplate,BBQ,BBQ,57 Altona Street  Kensington,-37.79780444303481,144.92609514836363,bbq
181,Urban Design Single Hotplate,BBQ,BBQ,57 Altona Street  Kensington,-37.79782182956559,144.92607433324784,bbq
182,Unknown Barbeque Type,BBQ,BBQ,40 Victoria Harbour Promenade  Docklands,-37.81889052008494,144.94275498440427,bbq
183,Urban Design Single Hotplate,BBQ,BBQ,Toilet Alexandra Gardens Alexandra Avenue  Melbourne,-37.82009381572264,144.9751031488083,bbq
184,Urban Design Double Hotplate,BBQ,BBQ,Toilet Alexandra Park Alexandra Avenue  Melbourne,-37.827850433666384,144.98340504092684,bbq
185,Barbeque (Docklands - not categorised),BBQ,BBQ,17 Harbour Esplanade  Docklands,-37.821986729768355,144.94727063202174,bbq
186,Urban Design Single Hotplate,BBQ,BBQ,121 Princes Park Drive  Carlton North,-37.785076205789544,144.96242901615196,bbq
187,Barbeque (Docklands - not categorised),BBQ,BBQ,51 Navigation Drive  Docklands,-37.82086901096214,144.9465319294234,bbq
188,Barbeque (Docklands - not categorised),BBQ,BBQ,Berth 15 South Wharf  Docklands,-37.823102798663285,144.9418950198315,bbq
189,Barbeque (Docklands - not categorised),BBQ,BBQ,Berth 15 South Wharf  Docklands,-37.823064959466265,144.9418027989896,bbq
