toilet_id,poi_id,name,female,male,wheelchair,lat,lon,distance
3,6,Public Toilet - Toilet 4 - Market Street (Opposite 74 Market Street),yes,yes,yes,-37.81746989209639,144.96025433528794,34.2987619155061
1,7,Public Toilet - Toilet 154 - Flagstaff Gardens (cnr William & Dudley),yes,yes,yes,-37.80891324235132,144.95504018635694,18.049673180703017
2,7,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),yes,yes,yes,-37.814345522392365,144.9551179464378,31.708484262869565
3,7,Public Toilet - Queen Victoria Market (153 Victoria Street),yes,yes,no,-37.80612149907781,144.95653844268273,36.31585055604706
1,8,Public Toilet - Toilet 13 - Queensberry Street (Opposite 530 Queensberry Street),,,,-37.803094275484256,144.94994632091922,24.206292456070777
2,8,Public Toilet - Toilet 170 - Queensberry Street (Opposite 530 Queensberry Street),no,yes,no,-37.803077866412245,144.94986517956968,24.72311301184636
3,8,Public Toilet - Queen Victoria Market (153 Victoria Street),yes,yes,no,-37.80612149907781,144.95653844268273,25.79618450954167
1,9,Public Toilet - Toilet 145 - Carlton Gardens South (Opposite 39 Rathdowne Street),yes,yes,yes,-37.80625893301874,144.9692027022002,15.509639218340716
2,9,Public Toilet - Toilet 178 -  Argyle Place North (Opposite 4 Argyle Place North),yes,yes,yes,-37.80207629420745,144.96642403988702,20.432824746359568
3,9,Public Toilet - Toilet 138 - Carlton Gardens North (Opposite 199 Rathdowne Street),yes,yes,yes,-37.802645554985105,144.969821287215,24.39655607372765
1,10,Public Toilet - Toilet 34 - Franklin Street (Opposite 80 Franklin Street),yes,yes,yes,-37.8082334704767,144.96018687493768,14.262724727584994
2,10,Public Toilet - Toilet 36 - Lonsdale Street (Opposite 424 Lonsdale Street),yes,yes,yes,-37.8129330992456,144.9600121469519,15.875169424183744
3,10,Public Toilet - Queen Victoria Market (465 Queen Street),yes,yes,yes,-37.807831221471965,144.95795526595654,20.648600701329507
1,11,Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),no,yes,no,-37.80894206847336,144.96564884552268,14.738225142825616
2,11,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),no,yes,no,-37.81343920794399,144.9629227264507,20.01026601217454
3,11,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),yes,no,no,-37.813837792176315,144.96309721024045,22.16765487996819
1,12,Public Toilet - Town Hall Melbourne (200 Collins Street),yes,yes,yes,-37.81521576619692,144.96694328510318,10.989819390402285
2,12,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),yes,yes,yes,-37.81324543360198,144.96689658968143,13.458309711561109
3,12,Public Toilet - Toilet 13 - Exhibition Street (Opposite 77 Exhibition Street),yes,yes,yes,-37.81384641664995,144.97137409472109,18.470079755327834
1,13,Public Toilet - Toilet 13 - Exhibition Street (Opposite 77 Exhibition Street),yes,yes,yes,-37.81384641664995,144.97137409472109,14.356504703803552
2,13,Public Toilet - Town Hall Melbourne (200 Collins Street),yes,yes,yes,-37.81521576619692,144.96694328510318,15.092964236705285
3,13,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),yes,yes,yes,-37.81324543360198,144.96689658968143,16.157542725461195
1,14,Public Toilet - Toilet 122 - Treasury Gardens (Store and Toilet),yes,yes,yes,-37.813418435008906,144.97746700744847,29.840457346081923
2,14,Public Toilet - Toilet 124 - Nicholson Street (1A Nicholson Street),no,yes,no,-37.80945202894246,144.97307695563703,33.10883920748878
3,14,Public Toilet - Toilet 125 - Gordon Reserve (74-108 Spring Street),yes,no,no,-37.812240775587135,144.97392555886628,35.13218962239875
1,15,Public Toilet - Toilet 124 - Nicholson Street (1A Nicholson Street),no,yes,no,-37.80945202894246,144.97307695563703,13.92988664152078
2,15,Public Toilet - Toilet 125 - Gordon Reserve (74-108 Spring Street),yes,no,no,-37.812240775587135,144.97392555886628,18.22806197771988
3,15,Public Toilet - Toilet 122 - Treasury Gardens (Store and Toilet),yes,yes,yes,-37.813418435008906,144.97746700744847,27.488711878874998
1,16,Public Toilet - Toilet 125 - Gordon Reserve (74-108 Spring Street),yes,no,no,-37.812240775587135,144.97392555886628,13.993136472158954
2,16,Public Toilet - Toilet 122 - Treasury Gardens (Store and Toilet),yes,yes,yes,-37.813418435008906,144.97746700744847,19.078117749359762
3,16,Public Toilet - Toilet 124 - Nicholson Street (1A Nicholson Street),no,yes,no,-37.80945202894246,144.97307695563703,19.419882571254302
1,17,Public Toilet - Toilet 119 - Fitzroy Gardens Toilets (150 Clarendon Street),yes,yes,yes,-37.81203615704364,144.98307493665166,12.974072267319961
2,17,Public Toilet - Toilet 117 - Powlett Reserve (Opposite 128 Albert Street),yes,yes,yes,-37.81094232809633,144.98685873937842,30.585218457712152
3,17,Public Toilet - Toilet 118 - Fitzroy Gardens (2 Lansdowne Street),yes,yes,yes,-37.815278082082735,144.97758877995489,36.36296915499201
1,18,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),yes,yes,yes,-37.820342128586276,144.96421972799456,18.760053097047546
2,18,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),yes,yes,yes,-37.817903197056154,144.9662642552638,20.114054624884993
3,18,Public Toilet - Toilet 110 - Queen Victoria Gardens (Linlithgow Avenue),yes,yes,yes,-37.82294828867767,144.97098568179825,27.613231478754795
1,19,Public Toilet - Toilet 170 - Queensberry Street (Opposite 530 Queensberry Street),no,yes,no,-37.803077866412245,144.94986517956968,14.242455900286512
2,19,Public Toilet - Toilet 13 - Queensberry Street (Opposite 530 Queensberry Street),,,,-37.803094275484256,144.94994632091922,14.724545419315128
3,19,Public Toilet - Toilet 136 - Ievers Reserve - Flemington Road,yes,yes,yes,-37.79679899805757,144.95196665126468,50.979382673123105
1,20,Public Toilet - Toilet 119 - Fitzroy Gardens Toilets (150 Clarendon Street),yes,yes,yes,-37.81203615704364,144.98307493665166,10.75035742721049
2,20,Public Toilet - Toilet 117 - Powlett Reserve (Opposite 128 Albert Street),yes,yes,yes,-37.81094232809633,144.98685873937842,14.27482749391675
3,20,Public Toilet - Toilet 122 - Treasury Gardens (Store and Toilet),yes,yes,yes,-37.813418435008906,144.97746700744847,47.31193923473165
1,21,Public Toilet - Toilet 137 - Faraday Street (Opposite 208-212 Faraday Street),yes,yes,no,-37.79870959701599,144.96759388009733,19.87718632905616
2,21,Public Toilet - Toilet 133- Canning Street Reserve (49 Princes Street),no,yes,no,-37.793011678725755,144.97399489761827,36.82847991253724
3,21,Public Toilet - Toilet 178 -  Argyle Place North (Opposite 4 Argyle Place North),yes,yes,yes,-37.80207629420745,144.96642403988702,42.51241250835855
1,22,Public Toilet - Toilet 138 - Carlton Gardens North (Opposite 199 Rathdowne Street),yes,yes,yes,-37.802645554985105,144.969821287215,3.117838093414502
2,22,Public Toilet - Toilet 178 -  Argyle Place North (Opposite 4 Argyle Place North),yes,yes,yes,-37.80207629420745,144.96642403988702,18.739263807309325
3,22,Public Toilet - Toilet 145 - Carlton Gardens South (Opposite 39 Rathdowne Street),yes,yes,yes,-37.80625893301874,144.9692027022002,23.500498418425366
1,23,Public Toilet - Toilet 131 - Royal Park (Flemington Rd - Near North Park Tennis Club),yes,yes,yes,-37.790174410412384,144.94366905096862,27.05849701687018
2,23,"Public Toilet - Toilet 55 - Royal Park (Nature Play, Opposite 51 Gatehouse Street)",yes,yes,yes,-37.795523148389,144.952142962802,43.8303560384364
3,23,Public Toilet - Toilet 136 - Ievers Reserve - Flemington Road,yes,yes,yes,-37.79679899805757,144.95196665126468,45.22487469249838
1,24,Public Toilet - Toilet 131 - Royal Park (Flemington Rd - Near North Park Tennis Club),yes,yes,yes,-37.790174410412384,144.94366905096862,39.336350932040865
2,24,Public Toilet - Toilet 136 - Ievers Reserve - Flemington Road,yes,yes,yes,-37.79679899805757,144.95196665126468,48.681181412982596
3,24,"Public Toilet - Toilet 55 - Royal Park (Nature Play, Opposite 51 Gatehouse Street)",yes,yes,yes,-37.795523148389,144.952142962802,49.95454279370442
1,25,Public Toilet - Toilet 131 - Royal Park (Flemington Rd - Near North Park Tennis Club),yes,yes,yes,-37.790174410412384,144.94366905096862,28.896462363731125
2,25,"Public Toilet - Toilet 55 - Royal Park (Nature Play, Opposite 51 Gatehouse Street)",yes,yes,yes,-37.795523148389,144.952142962802,67.35996478795009
3,25,Public Toilet - Toilet 136 - Ievers Reserve - Flemington Road,yes,yes,yes,-37.79679899805757,144.95196665126468,67.75133165253821
1,26,Public Toilet - Toilet 177 - Bellair Street (Opposite 180 Bellair Street),yes,yes,yes,-37.79373229128235,144.93035186163308,19.68816186147891
2,26,"Public Toilet - Toilet 162 - JJ Holland Park (Opposite, 48 Altona Street)",yes,yes,yes,-37.798125461506075,144.92642466756246,31.828793090707588
3,26,Public Toilet - Newmarket Reserve (26 Smithfield Road),yes,yes,no,-37.78848882114304,144.92356372197432,38.32610228370001
1,27,Public Toilet - Toilet 177 - Bellair Street (Opposite 180 Bellair Street),yes,yes,yes,-37.79373229128235,144.93035186163308,14.378188628324386
2,27,"Public Toilet - Toilet 162 - JJ Holland Park (Opposite, 48 Altona Street)",yes,yes,yes,-37.798125461506075,144.92642466756246,24.469339723371256
3,27,"Public Toilet - Toilet 173 - JJ Holland Park, Skate Park (113 Kensington Road)",yes,yes,yes,-37.798064023886866,144.92110584392117,50.52457552490989
1,28,Public Toilet - Town Hall Melbourne (200 Collins Street),yes,yes,yes,-37.81521576619692,144.96694328510318,7.870687082245482
2,28,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),yes,yes,yes,-37.81324543360198,144.96689658968143,11.904494708417648
3,28,Public Toilet - Toilet 13 - Exhibition Street (Opposite 77 Exhibition Street),yes,yes,yes,-37.81384641664995,144.97137409472109,21.61693078689581
1,29,Public Toilet - Toilet 104 - Kings Domain South (off Birdwood Avenue),yes,yes,yes,-37.830849124048974,144.97518226820782,30.238791842188462
2,29,Public Toilet - Toilet 103 - Kings Domain South (Opposite 169 Domain Road),yes,yes,yes,-37.83393826633729,144.98178404635058,32.630113249642825
3,29,"Public Toilet - Toilet 102 - Fawkner Park, North Pavilion (Female)",yes,no,no,-37.84001779326322,144.9812270146221,41.00359039353521
1,30,"Public Toilet - Toilet 44 - Fawkner Park, Opposite 150W Toorak Road",yes,yes,yes,-37.83825284124979,144.9843892199417,17.72663091361281
2,30,"Public Toilet - Toilet 102 - Fawkner Park, North Pavilion (Male)",no,yes,no,-37.840147692965054,144.98138308753738,27.06929699166795
3,30,"Public Toilet - Toilet 102 - Fawkner Park, North Pavilion (Female)",yes,no,no,-37.84001779326322,144.9812270146221,28.17046303669427
1,31,"Public Toilet - Toilet 44 - Fawkner Park, Opposite 150W Toorak Road",yes,yes,yes,-37.83825284124979,144.9843892199417,10.507923888135895
2,31,"Public Toilet - Toilet 102 - Fawkner Park, North Pavilion (Male)",no,yes,no,-37.840147692965054,144.98138308753738,30.784394884089608
3,31,"Public Toilet - Toilet 102 - Fawkner Park, North Pavilion (Female)",yes,no,no,-37.84001779326322,144.9812270146221,31.478217647188046
1,32,Public Toilet - Toilet 124 - Nicholson Street (1A Nicholson Street),no,yes,no,-37.80945202894246,144.97307695563703,7.572163794392427
2,32,Public Toilet - Toilet 125 - Gordon Reserve (74-108 Spring Street),yes,no,no,-37.812240775587135,144.97392555886628,20.032561831680727
3,32,Public Toilet - Toilet 11 - Lonsdale Street (Opposite 88 Lonsdale Street),yes,yes,yes,-37.8100356799286,144.9699024633049,28.005790861898028
1,33,Public Toilet - Toilet 131 - Royal Park (Flemington Rd - Near North Park Tennis Club),yes,yes,yes,-37.790174410412384,144.94366905096862,37.43005416828338
2,33,"Public Toilet - Toilet 120 - Royal Park, Wetland (off Oak Street)",yes,yes,yes,-37.78303248417686,144.94185635299425,40.3960816412439
3,33,Public Toilet - Royal Park Brens Pavilion,yes,yes,no,-37.78622124839705,144.95500087587342,47.22726187878755
1,34,Public Toilet - Toilet 179 - Lincoln Square (138-142 Bouverie Street),yes,yes,yes,-37.80271182455448,144.9622681269577,18.871481802636495
2,34,Public Toilet - Toilet 140 - Queensberry Street (Opposite 286 Queensberry Street),no,yes,no,-37.803994634967296,144.95909066756946,24.317125237213414
3,34,Public Toilet - Toilet 142 - Queensberry Street (Adjacent 179 Queensberry Street),no,yes,no,-37.80463970714722,144.96285021945613,31.13623612645353
1,35,Public Toilet - Royal Park Golf Course Club House,yes,yes,no,-37.78187131786685,144.95614252894822,1.0984509852141615
2,35,Public Toilet - Royal Park Brens Pavilion,yes,yes,no,-37.78622124839705,144.95500087587342,28.682996113595202
3,35,Public Toilet - Toilet 127 - Princes Park Royal Parade (near Park Street),yes,yes,yes,-37.7789496090064,144.96046591899102,32.50349103908466
1,36,Public Toilet - Toilet 117 - Powlett Reserve (Opposite 128 Albert Street),yes,yes,yes,-37.81094232809633,144.98685873937842,5.468531055771493
2,36,Public Toilet - Toilet 119 - Fitzroy Gardens Toilets (150 Clarendon Street),yes,yes,yes,-37.81203615704364,144.98307493665166,26.71198223162174
3,36,Public Toilet - Toilet 122 - Treasury Gardens (Store and Toilet),yes,yes,yes,-37.813418435008906,144.97746700744847,63.124208911097575
1,37,Public Toilet - Toilet 128 - Princes Park South Playground (Princes Park Drive),yes,yes,yes,-37.7855983874526,144.9630353603256,11.790215870370819
2,37,Public Toilet - Toilet 52 - Princes Park (Adjacent Southern Sports Pavilion),yes,yes,yes,-37.78790482714769,144.95949479077186,28.983092024177807
3,37,Public Toilet - Toilet 127 - Princes Park Royal Parade (near Park Street),yes,yes,yes,-37.7789496090064,144.96046591899102,34.12527680072329
1,38,Public Toilet - Toilet 128 - Princes Park South Playground (Princes Park Drive),yes,yes,yes,-37.7855983874526,144.9630353603256,15.360896742583579
2,38,Public Toilet - Toilet 127 - Princes Park Royal Parade (near Park Street),yes,yes,yes,-37.7789496090064,144.96046591899102,30.160740041880025
3,38,Public Toilet - Toilet 52 - Princes Park (Adjacent Southern Sports Pavilion),yes,yes,yes,-37.78790482714769,144.95949479077186,32.623561604678756
1,39,Public Toilet - Queen Victoria Market (465 Queen Street),yes,yes,yes,-37.807831221471965,144.95795526595654,5.475187994936568
2,39,Public Toilet - Queen Victoria Market (153 Victoria Street),yes,yes,no,-37.80612149907781,144.95653844268273,9.632402646802172
3,39,"Public Toilet - Queen Victoria Market - (Meat Hall / ""H"" Shed)",yes,yes,no,-37.80682129201847,144.95874700464088,10.963619850597574
1,40,Public Toilet - Toilet 138 - Carlton Gardens North (Opposite 199 Rathdowne Street),yes,yes,yes,-37.802645554985105,144.969821287215,14.895277924228498
2,40,Public Toilet - Toilet 145 - Carlton Gardens South (Opposite 39 Rathdowne Street),yes,yes,yes,-37.80625893301874,144.9692027022002,33.67938029941486
3,40,Public Toilet - Toilet 137 - Faraday Street (Opposite 208-212 Faraday Street),yes,yes,no,-37.79870959701599,144.96759388009733,34.08211449057443
1,41,Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),no,yes,no,-37.80894206847336,144.96564884552268,7.602091442707868
2,41,Public Toilet - Toilet 146 - Swanston Street (Opposite 475-511 Swanston Street),yes,no,no,-37.806805767380254,144.96264850030644,18.869433204202718
3,41,Public Toilet - Toilet 145 - Carlton Gardens South (Opposite 39 Rathdowne Street),yes,yes,yes,-37.80625893301874,144.9692027022002,25.57835736439028
1,42,Public Toilet - Toilet 106 - Kings Domain Government House Drive,yes,yes,no,-37.82691574923447,144.9746477838788,9.511107287205201
2,42,Public Toilet - Toilet 109 - Kings Domain Myer Music Bowl Rear of,yes,yes,yes,-37.82289159858857,144.975280957334,18.35713429279387
3,42,Public Toilet - Toilet 110 - Queen Victoria Gardens (Linlithgow Avenue),yes,yes,yes,-37.82294828867767,144.97098568179825,25.695310405700905
1,43,Public Toilet - Toilet 110 - Queen Victoria Gardens (Linlithgow Avenue),yes,yes,yes,-37.82294828867767,144.97098568179825,15.86608909555251
2,43,Public Toilet - Toilet 48 - Birrarung Marr (Opposite Artplay),yes,yes,yes,-37.81859887229392,144.97105956826817,24.113132244087584
3,43,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),yes,yes,yes,-37.817903197056154,144.9662642552638,29.015647800078938
1,44,Public Toilet - Toilet 110 - Queen Victoria Gardens (Linlithgow Avenue),yes,yes,yes,-37.82294828867767,144.97098568179825,18.25848675691484
2,44,Public Toilet - Toilet 48 - Birrarung Marr (Opposite Artplay),yes,yes,yes,-37.81859887229392,144.97105956826817,26.77763343182839
3,44,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),yes,yes,yes,-37.820342128586276,144.96421972799456,27.705513192709333
1,45,Public Toilet - Toilet 110 - Queen Victoria Gardens (Linlithgow Avenue),yes,yes,yes,-37.82294828867767,144.97098568179825,19.151233491664907
2,45,Public Toilet - Toilet 48 - Birrarung Marr (Opposite Artplay),yes,yes,yes,-37.81859887229392,144.97105956826817,23.695023809844283
3,45,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),yes,yes,yes,-37.817903197056154,144.9662642552638,25.671400138186012
1,46,Public Toilet - Toilet 103 - Kings Domain South (Opposite 169 Domain Road),yes,yes,yes,-37.83393826633729,144.98178404635058,9.257314841433555
2,46,"Public Toilet - Toilet 44 - Fawkner Park, Opposite 150W Toorak Road",yes,yes,yes,-37.83825284124979,144.9843892199417,28.095256737529088
3,46,"Public Toilet - Toilet 102 - Fawkner Park, North Pavilion (Female)",yes,no,no,-37.84001779326322,144.9812270146221,30.458645691111474
1,47,"Public Toilet - Toilet 173 - JJ Holland Park, Skate Park (113 Kensington Road)",yes,yes,yes,-37.798064023886866,144.92110584392117,73.34720028996823
2,47,Public Toilet - Newmarket Reserve (26 Smithfield Road),yes,yes,no,-37.78848882114304,144.92356372197432,74.03610786219024
3,47,"Public Toilet - Toilet 162 - JJ Holland Park (Opposite, 48 Altona Street)",yes,yes,yes,-37.798125461506075,144.92642466756246,101.97977933523512
1,48,Public Toilet - Toilet 124 - Nicholson Street (1A Nicholson Street),no,yes,no,-37.80945202894246,144.97307695563703,9.41353587486657
2,48,Public Toilet - Toilet 125 - Gordon Reserve (74-108 Spring Street),yes,no,no,-37.812240775587135,144.97392555886628,14.00251961445451
3,48,Public Toilet - Toilet 11 - Lonsdale Street (Opposite 88 Lonsdale Street),yes,yes,yes,-37.8100356799286,144.9699024633049,15.983356494822177
1,49,Public Toilet - Toilet 122 - Treasury Gardens (Store and Toilet),yes,yes,yes,-37.813418435008906,144.97746700744847,11.45616912240945
2,49,Public Toilet - Toilet 118 - Fitzroy Gardens (2 Lansdowne Street),yes,yes,yes,-37.815278082082735,144.97758877995489,11.785330610571366
3,49,Public Toilet - Toilet 125 - Gordon Reserve (74-108 Spring Street),yes,no,no,-37.812240775587135,144.97392555886628,18.82747505689756
1,50,Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),no,yes,no,-37.80894206847336,144.96564884552268,10.683071121591961
2,50,Public Toilet - Toilet 146 - Swanston Street (Opposite 475-511 Swanston Street),yes,no,no,-37.806805767380254,144.96264850030644,22.910958758684902
3,50,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),no,yes,no,-37.81343920794399,144.9629227264507,23.767222495888404
1,51,Public Toilet - Town Hall Melbourne (200 Collins Street),yes,yes,yes,-37.81521576619692,144.96694328510318,7.94602616702922
2,51,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),yes,yes,yes,-37.817903197056154,144.9662642552638,16.020710889311527
3,51,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),yes,yes,yes,-37.81324543360198,144.96689658968143,18.72856342075883
1,52,Public Toilet - Toilet 125 - Gordon Reserve (74-108 Spring Street),yes,no,no,-37.812240775587135,144.97392555886628,9.36432244158997
2,52,Public Toilet - Toilet 122 - Treasury Gardens (Store and Toilet),yes,yes,yes,-37.813418435008906,144.97746700744847,14.488219804022835
3,52,Public Toilet - Toilet 118 - Fitzroy Gardens (2 Lansdowne Street),yes,yes,yes,-37.815278082082735,144.97758877995489,21.18200155111238
1,53,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),yes,yes,yes,-37.82172068166997,144.95557809313962,6.931645685604281
2,53,Public Toilet - Toilet 3 - Flinders Street (399 Flinders Street),yes,yes,yes,-37.81940611413847,144.96127683121782,33.08122467376491
3,53,Public Toilet - Toilet 4 - Market Street (Opposite 74 Market Street),yes,yes,yes,-37.81746989209639,144.96025433528794,35.990463946082194
1,54,Public Toilet - Toilet 107 - Alexandra Park,yes,yes,yes,-37.82764304616528,144.98181166075952,55.32814069309895
2,54,Public Toilet - Toilet 117 - Powlett Reserve (Opposite 128 Albert Street),yes,yes,yes,-37.81094232809633,144.98685873937842,68.93833382245613
3,54,Public Toilet - Toilet 119 - Fitzroy Gardens Toilets (150 Clarendon Street),yes,yes,yes,-37.81203615704364,144.98307493665166,69.3860704859444
1,55,Public Toilet - Toilet 118 - Fitzroy Gardens (2 Lansdowne Street),yes,yes,yes,-37.815278082082735,144.97758877995489,45.58887095638937
2,55,Public Toilet - Toilet 119 - Fitzroy Gardens Toilets (150 Clarendon Street),yes,yes,yes,-37.81203615704364,144.98307493665166,47.59975214216554
3,55,Public Toilet - Toilet 111 - Birrarung Marr Speakers Corner,yes,yes,yes,-37.82100477977538,144.97593322373976,48.2663318820418
1,56,Public Toilet - Royal Park Brens Pavilion,yes,yes,no,-37.78622124839705,144.95500087587342,25.696395709304703
2,56,Public Toilet - Royal Park Golf Course Club House,yes,yes,no,-37.78187131786685,144.95614252894822,34.481649097448724
3,56,Public Toilet - Toilet 52 - Princes Park (Adjacent Southern Sports Pavilion),yes,yes,yes,-37.78790482714769,144.95949479077186,56.135285605647724
1,57,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),yes,yes,yes,-37.82172068166997,144.95557809313962,23.781950035678612
2,57,Public Toilet - Toilet 182 - Docklands Park South - 25 Harbour Esplanade,yes,yes,yes,-37.82175860330799,144.9473834186781,49.39472818009269
3,57,Public Toilet - Toilet 3 - Flinders Street (399 Flinders Street),yes,yes,yes,-37.81940611413847,144.96127683121782,57.51579875841887
1,58,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),yes,yes,yes,-37.82172068166997,144.95557809313962,29.08156791521387
2,58,Public Toilet - Toilet 182 - Docklands Park South - 25 Harbour Esplanade,yes,yes,yes,-37.82175860330799,144.9473834186781,36.96058906249568
3,58,Public Toilet - Toilet 3 - Flinders Street (399 Flinders Street),yes,yes,yes,-37.81940611413847,144.96127683121782,66.8334231183935
1,59,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),yes,yes,yes,-37.82172068166997,144.95557809313962,20.93880387415915
2,59,Public Toilet - Toilet 182 - Docklands Park South - 25 Harbour Esplanade,yes,yes,yes,-37.82175860330799,144.9473834186781,41.73638894940637
3,59,Public Toilet - Toilet 3 - Flinders Street (399 Flinders Street),yes,yes,yes,-37.81940611413847,144.96127683121782,58.26179106280034
1,60,"Public Toilet - Victoria Harbour, Shed 2 (North Wharf Road)",yes,yes,yes,-37.818924455699296,144.9342385117904,147.4094463184508
2,60,Public Toilet - Ron Barassi Senior Park Pavilion,U,U,U,-37.81722059052804,144.93400271183995,151.3152875096059
3,60,"Public Toilet - Victoria Harbour, Shed 3 (North Wharf Road)",no,yes,no,-37.819795975740334,144.93766540530564,164.9508336754457
1,61,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),yes,yes,yes,-37.820342128586276,144.96421972799456,11.227071969327556
2,61,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),yes,yes,yes,-37.817903197056154,144.9662642552638,14.90797214491106
3,61,Public Toilet - Toilet 3 - Flinders Street (399 Flinders Street),yes,yes,yes,-37.81940611413847,144.96127683121782,30.289101461722034
1,62,Public Toilet - Toilet 105 -Sturt Street Reserve (280 Sturt Street),yes,yes,no,-37.830132537548096,144.96501222835187,26.592544088280654
2,62,Public Toilet - Toilet 110 - Queen Victoria Gardens (Linlithgow Avenue),yes,yes,yes,-37.82294828867767,144.97098568179825,33.19182641225067
3,62,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),yes,yes,yes,-37.820342128586276,144.96421972799456,44.31518238842624
1,63,Public Toilet - Toilet 105 -Sturt Street Reserve (280 Sturt Street),yes,yes,no,-37.830132537548096,144.96501222835187,22.439893074403116
2,63,Public Toilet - Toilet 110 - Queen Victoria Gardens (Linlithgow Avenue),yes,yes,yes,-37.82294828867767,144.97098568179825,37.19794126027938
3,63,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),yes,yes,yes,-37.820342128586276,144.96421972799456,46.860374407141094
1,64,Public Toilet - Toilet 124 - Nicholson Street (1A Nicholson Street),no,yes,no,-37.80945202894246,144.97307695563703,18.39611351069724
2,64,Public Toilet - Toilet 125 - Gordon Reserve (74-108 Spring Street),yes,no,no,-37.812240775587135,144.97392555886628,18.461417494373546
3,64,Public Toilet - Toilet 122 - Treasury Gardens (Store and Toilet),yes,yes,yes,-37.813418435008906,144.97746700744847,23.29359643408924
